"","gutenberg_id","text"
"250",5230,"topic of operations and bandages. She did not ""make so bold as to"
"251",5230,"say,"" however, after all. But his snubbing way had irritated her,"
"252",5230,"and Millie had a hot time of it that afternoon."
"253",5230,""
"254",5230,"The visitor remained in the parlour until four o'clock, without"
"255",5230,"giving the ghost of an excuse for an intrusion. For the most part"
"256",5230,"he was quite still during that time; it would seem he sat in the"
"257",5230,"growing darkness smoking in the firelight--perhaps dozing."
"258",5230,""
"259",5230,"Once or twice a curious listener might have heard him at the coals,"
"260",5230,"and for the space of five minutes he was audible pacing the room."
"261",5230,"He seemed to be talking to himself. Then the armchair creaked as"
"262",5230,"he sat down again."
"263",5230,""
"264",5230,""
"265",5230,""
"266",5230,"CHAPTER II"
"267",5230,""
"268",5230,"MR. TEDDY HENFREY'S FIRST IMPRESSIONS"
"269",5230,""
"270",5230,""
"271",5230,"At four o'clock, when it was fairly dark and Mrs. Hall was screwing"
"272",5230,"up her courage to go in and ask her visitor if he would take some"
"273",5230,"tea, Teddy Henfrey, the clock-jobber, came into the bar. ""My sakes!"
"274",5230,"Mrs. Hall,"" said he, ""but this is terrible weather for thin boots!"""
"275",5230,"The snow outside was falling faster."
"276",5230,""
"277",5230,"Mrs. Hall agreed, and then noticed he had his bag with him. ""Now"
"278",5230,"you're here, Mr. Teddy,"" said she, ""I'd be glad if you'd give th'"
"279",5230,"old clock in the parlour a bit of a look. 'Tis going, and it strikes"
"280",5230,"well and hearty; but the hour-hand won't do nuthin' but point at"
"281",5230,"six."""
"282",5230,""
"283",5230,"And leading the way, she went across to the parlour door and rapped"
"284",5230,"and entered."
"285",5230,""
"286",5230,"Her visitor, she saw as she opened the door, was seated in the"
"287",5230,"armchair before the fire, dozing it would seem, with his bandaged"
"288",5230,"head drooping on one side. The only light in the room was the red"
"289",5230,"glow from the fire--which lit his eyes like adverse railway signals,"
"290",5230,"but left his downcast face in darkness--and the scanty vestiges of"
"291",5230,"the day that came in through the open door. Everything was ruddy,"
"292",5230,"shadowy, and indistinct to her, the more so since she had just been"
"293",5230,"lighting the bar lamp, and her eyes were dazzled. But for a second"
"294",5230,"it seemed to her that the man she looked at had an enormous mouth"
"295",5230,"wide open--a vast and incredible mouth that swallowed the whole of"
"296",5230,"the lower portion of his face. It was the sensation of a moment:"
"297",5230,"the white-bound head, the monstrous goggle eyes, and this huge yawn"
"298",5230,"below it. Then he stirred, started up in his chair, put up his hand."
"299",5230,"She opened the door wide, so that the room was lighter, and she saw"
"300",5230,"him more clearly, with the muffler held up to his face just as she"
"301",5230,"had seen him hold the serviette before. The shadows, she fancied,"
"302",5230,"had tricked her."
"303",5230,""
"304",5230,"""Would you mind, sir, this man a-coming to look at the clock, sir?"""
"305",5230,"she said, recovering from the momentary shock."
"306",5230,""
"307",5230,"""Look at the clock?"" he said, staring round in a drowsy manner,"
"308",5230,"and speaking over his hand, and then, getting more fully awake,"
"309",5230,"""certainly."""
"310",5230,""
"311",5230,"Mrs. Hall went away to get a lamp, and he rose and stretched"
"312",5230,"himself. Then came the light, and Mr. Teddy Henfrey, entering, was"
"313",5230,"confronted by this bandaged person. He was, he says, ""taken aback."""
"314",5230,""
"315",5230,"""Good afternoon,"" said the stranger, regarding him--as Mr. Henfrey"
"316",5230,"says, with a vivid sense of the dark spectacles--""like a lobster."""
"317",5230,""
"318",5230,"""I hope,"" said Mr. Henfrey, ""that it's no intrusion."""
"319",5230,""
"320",5230,"""None whatever,"" said the stranger. ""Though, I understand,"" he said"
"321",5230,"turning to Mrs. Hall, ""that this room is really to be mine for my"
"322",5230,"own private use."""
"323",5230,""
"324",5230,"""I thought, sir,"" said Mrs. Hall, ""you'd prefer the clock--"""
"325",5230,""
"326",5230,"""Certainly,"" said the stranger, ""certainly--but, as a rule, I"
"327",5230,"like to be alone and undisturbed."
"328",5230,""
"329",5230,"""But I'm really glad to have the clock seen to,"" he said, seeing a"
